file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
test_203811.json,2,0.980127,325,147,525,147,525,320,325,320
test_203023.json,2,0.975724,372,132,544,132,544,333,372,333
test_204007.json,2,0.97332,77,49,287,49,287,281,77,281
test_203564.json,2,0.972727,273,148,481,148,481,320,273,320
test_210531.json,2,0.972595,326,102,540,102,540,308,326,308
test_214148.json,2,0.971506,319,43,525,43,525,230,319,230
test_216663.json,2,0.971503,352,160,533,160,533,328,352,328
test_220623.json,2,0.971319,67,293,231,293,231,463,67,463
test_217095.json,2,0.970898,320,75,527,75,527,289,320,289
test_208833.json,2,0.969364,285,87,500,87,500,286,285,286
test_202706.json,2,0.968529,259,166,432,166,432,333,259,333
test_212550.json,2,0.968368,335,121,526,121,526,322,335,322
test_203042.json,3,0.96817,147,13,216,13,216,121,147,121
test_217860.json,2,0.967846,234,153,417,153,417,318,234,318
test_211941.json,2,0.967779,370,107,544,107,544,272,370,272
test_211731.json,2,0.967363,306,86,515,86,515,274,306,274
test_210054.json,1,0.967323,36,31,540,31,540,542,36,542
test_202838.json,2,0.967271,279,127,475,127,475,293,279,293
test_201919.json,2,0.967114,280,89,495,89,495,277,280,277
test_203666.json,1,0.967059,35,31,540,31,540,544,35,544
test_200069.json,2,0.967001,280,107,495,107,495,292,280,292
test_217306.json,2,0.966774,265,144,475,144,475,323,265,323
test_204169.json,2,0.966564,326,89,535,89,535,304,326,304
test_218930.json,2,0.966514,70,155,257,155,257,360,70,360
test_210754.json,1,0.966509,34,31,540,31,540,544,34,544
test_202993.json,2,0.966304,335,94,544,94,544,309,335,309
test_208871.json,1,0.966047,34,29,541,29,541,541,34,541
test_204240.json,2,0.965406,302,73,508,73,508,291,302,291
test_207214.json,2,0.965344,332,112,543,112,543,320,332,320
test_212760.json,2,0.965309,324,94,541,94,541,301,324,301
test_211027.json,2,0.964906,55,283,250,283,250,457,55,457
test_216218.json,2,0.964354,339,157,532,157,532,328,339,328
test_218736.json,1,0.964288,34,27,540,27,540,541,34,541
test_212619.json,2,0.963775,271,135,466,135,466,300,271,300
test_214643.json,2,0.96377,326,71,541,71,541,289,326,289
test_220695.json,1,0.963515,34,31,540,31,540,542,34,542
test_203148.json,1,0.963482,32,29,542,29,542,542,32,542
test_200535.json,2,0.963393,230,39,422,39,422,175,230,175
test_204237.json,1,0.963375,32,30,542,30,542,542,32,542
test_205558.json,2,0.963279,36,31,251,31,251,227,36,227
test_217414.json,1,0.963272,35,31,540,31,540,542,35,542
test_207643.json,2,0.963242,274,151,481,151,481,328,274,328
test_220213.json,1,0.963232,34,31,541,31,541,543,34,543
test_204764.json,1,0.963131,31,29,542,29,542,541,31,541
test_211182.json,2,0.962882,297,102,494,102,494,291,297,291
test_203260.json,1,0.962812,33,31,543,31,543,545,33,545
test_220850.json,1,0.962772,33,28,540,28,540,541,33,541
test_203671.json,2,0.962683,260,218,435,218,435,350,260,350
